,Name,Team,Nation_Ranking,League_Ranking,Age,MP,Goals,Shots,G/Sh,CompPass,CompPass%,ShoPass,LongPass,LongPass%,Assists,Pas3rd,SCA,GCA,TklWon,TklInt,Blocks,Clearence,Carries,CPA,Recov,AerWon%,Market_Value
2487,Iyenoma Udogie,Udinese,5,2,20,17,2,1.04,0.12,31.2,82.1,18.2,1.29,80.8,0.12,2.27,3.37,0.31,1.6,3.93,1.23,0.61,30.5,1.23,5.83,42.1,1.0
2488,Ike Ugbo,Troyes,2,1,24,14,1,1.78,0.13,7.56,70.8,4.89,0.0,0.0,0.22,0.44,1.33,0.22,0.22,1.11,1.33,0.44,10.7,0.67,1.33,12.5,1.0
2489,Chimuanya Ugochukwu,Rennes,5,1,18,14,0,0.33,0.0,41.2,85.8,15.3,5.05,83.6,0.0,2.97,0.55,0.11,1.32,4.29,1.54,0.77,44.6,0.0,5.93,78.6,1.0
2492,Samuel Umtiti,Lecce,5,2,29,12,0,0.29,0.0,31.0,81.7,11.7,4.57,61.5,0.0,2.57,0.38,0.0,1.52,4.0,1.24,3.14,22.5,0.0,7.05,51.3,1.0
2493,Enes  nal,Getafe,3,4,25,20,6,2.34,0.11,14.4,64.1,9.43,0.47,52.9,0.16,1.09,2.03,0.26,0.47,0.78,0.52,1.35,18.6,0.42,2.81,45.4,1.0
2494,Deniz Undav,Brighton,5,5,26,10,0,4.23,0.0,17.3,81.8,11.9,0.38,50.0,0.0,0.38,3.46,0.0,1.15,1.54,0.38,0.38,15.0,0.77,1.92,37.5,1.0
2495,Cengiz  nder,Marseille,3,1,25,22,1,2.75,0.0,30.4,72.3,16.2,3.41,48.5,0.22,2.17,3.7,0.43,0.8,2.46,0.36,0.43,40.1,1.45,5.0,66.7,1.0
2496,Dayot Upamecano,Bayern Munich,5,3,24,19,0,0.26,0.0,78.8,89.8,22.0,9.31,72.1,0.05,8.52,1.01,0.16,1.59,3.81,0.9,3.07,70.5,0.11,7.72,52.2,1.0
2499,Jere Uronen,Brest,1,1,28,6,0,0.3,0.0,37.9,79.6,16.1,3.33,50.0,0.3,3.64,1.21,0.3,1.52,4.55,1.82,1.52,40.0,0.0,4.24,25.0,1.0
2502,Josha Vagnoman,Stuttgart,5,3,22,11,0,1.03,0.0,22.2,72.6,11.9,1.47,66.7,0.0,1.47,1.18,0.0,0.59,2.06,1.18,2.65,20.1,0.44,3.24,68.8,1.0
2504, scar Valent n,Rayo Vallecano,5,4,28,17,0,0.66,0.0,36.8,82.4,16.0,4.71,68.1,0.0,6.1,1.99,0.07,1.99,5.66,1.99,1.03,27.9,0.0,6.54,40.0,1.0
2505,Emanuele Valeri,Cremonese,5,2,24,20,1,1.39,0.04,21.0,56.7,9.04,2.77,37.1,0.06,1.99,2.71,0.12,0.72,2.47,0.36,1.63,22.2,0.54,6.02,34.6,1.0
2506,Valery,Girona,5,4,23,15,0,0.63,0.0,28.6,87.1,17.0,2.03,86.7,0.31,0.94,3.44,0.63,0.47,2.19,0.63,0.94,24.8,0.94,5.16,50.0,1.0
2508,Yan Valery,Angers,1,1,23,14,0,0.5,0.0,30.2,69.9,14.5,2.89,46.1,0.0,1.57,1.07,0.0,1.32,3.14,1.07,3.22,32.1,0.25,4.88,69.0,1.0
2509,Enrique Valiente,Sevilla,5,4,20,6,1,0.73,0.33,43.2,83.9,16.8,4.39,56.3,0.24,2.2,0.24,0.24,0.24,1.46,0.98,5.61,36.3,0.0,3.41,60.0,1.0
2510,Martin Valjent,Mallorca,2,4,27,18,0,0.06,0.0,32.3,80.6,12.9,4.21,54.7,0.0,2.08,0.17,0.06,0.67,1.91,1.57,3.93,26.3,0.06,3.71,72.7,1.0
2511,Manu Vallejo,Girona,5,4,25,7,0,0.43,0.0,29.6,76.4,17.8,1.74,80.0,0.43,3.48,4.35,1.74,0.43,2.17,0.87,1.3,29.1,0.87,3.48,0.0,1.0
2512,Mattia Valoti,Monza,5,2,29,7,0,0.37,0.0,26.7,80.0,13.3,2.22,66.7,0.0,4.44,1.48,0.0,1.85,4.07,1.85,1.11,21.5,0.0,4.44,66.7,1.0
2513,Federico Valverde,Real Madrid,4,4,24,20,6,2.41,0.15,49.5,87.9,29.0,3.82,73.0,0.12,3.82,3.24,0.59,0.65,1.41,0.94,0.53,41.2,0.24,4.82,77.3,1.0
2514,Virgil van Dijk,Liverpool,5,5,31,17,2,1.09,0.11,71.5,89.1,24.1,7.76,70.7,0.0,5.52,0.61,0.06,0.18,1.76,0.91,4.24,54.2,0.12,5.58,78.6,1.0
2515,Vanderson,Monaco,5,1,21,20,0,0.9,0.0,48.5,79.1,22.4,5.14,58.7,0.21,4.93,2.22,0.35,1.88,5.76,1.88,1.53,48.1,0.35,6.74,55.2,1.0
2516,Rapha l Varane,Manchester Utd,5,5,29,17,0,0.35,0.0,47.2,86.4,15.1,3.4,52.7,0.0,4.17,0.69,0.0,0.49,1.94,1.32,4.65,39.8,0.0,5.07,69.4,1.0
2517,Jamie Vardy,Leicester City,5,5,36,22,1,1.22,0.06,6.64,53.0,3.05,0.38,50.0,0.31,0.53,1.45,0.38,0.23,0.69,0.69,1.45,9.24,0.76,1.91,40.0,1.0
2518,Ruben Vargas,Augsburg,3,3,24,12,1,1.07,0.17,13.4,50.0,5.71,0.54,20.0,0.18,1.79,1.79,0.36,0.71,2.14,0.89,1.43,19.5,0.18,6.25,40.0,1.0
2519,Johan V squez,Cremonese,3,2,24,10,0,0.71,0.0,29.1,73.4,12.7,1.43,28.6,0.0,1.86,0.86,0.0,1.0,4.0,2.0,4.57,22.7,0.0,5.71,38.7,1.0
2520,Jesus Vazquez,Valencia,5,4,20,6,0,1.58,0.0,41.6,79.8,32.1,0.53,20.0,0.0,2.11,1.58,0.0,2.11,2.11,1.05,1.58,40.0,0.0,4.74,0.0,1.0
2522,Lucas V zquez,Real Madrid,5,4,31,10,2,1.49,0.29,65.1,87.2,37.2,3.83,69.2,0.0,2.55,3.62,0.0,1.49,3.62,1.06,0.85,51.3,1.28,5.11,0.0,1.0
2523,Mat as Vecino,Lazio,4,2,31,20,1,1.48,0.06,42.7,84.0,23.7,2.41,57.8,0.0,4.17,1.67,0.19,1.48,3.15,1.3,1.76,32.9,0.09,5.93,50.0,1.0
2524,Gabriel Veiga,Celta Vigo,5,4,20,19,6,2.7,0.19,25.9,75.3,13.5,2.26,66.7,0.17,2.96,3.13,0.43,0.7,2.26,1.13,0.26,28.3,0.61,4.87,56.3,1.0
2527,Miguel Veloso,Hellas Verona,5,2,36,15,0,1.38,0.0,33.3,71.8,12.7,5.64,47.3,0.0,3.62,2.77,0.21,0.43,2.55,2.13,0.96,23.1,0.11,9.04,41.2,1.0
2528,Jo l Veltman,Brighton,5,5,31,19,0,0.33,0.0,54.6,83.3,21.8,3.92,56.1,0.07,7.71,1.37,0.13,1.5,3.59,1.44,2.81,41.8,0.07,5.03,44.8,1.0
2529,Mickey van de Ven,Wolfsburg,5,3,21,20,1,0.45,0.11,46.4,87.3,12.8,5.3,65.4,0.05,2.8,0.65,0.05,1.0,2.3,1.2,3.45,35.6,0.05,5.4,47.9,1.0
2530,Unai Vencedor Paris,Athletic Club,5,4,22,6,0,1.88,0.0,50.6,89.0,23.1,9.38,88.2,0.0,6.88,1.88,0.0,0.63,2.5,1.88,0.0,36.9,0.63,7.5,100.0,1.0
2531,Lorenzo Venuti,Fiorentina,5,2,27,9,0,0.65,0.0,52.4,83.3,23.1,6.29,58.2,0.16,4.35,2.42,0.32,0.81,2.74,0.32,2.1,40.0,0.0,4.52,66.7,1.0
2532,Daniele Verde,Spezia,5,2,26,12,2,2.64,0.07,20.2,60.5,9.62,1.7,31.0,0.0,0.75,4.15,0.19,0.0,0.75,0.94,0.38,22.1,0.38,5.28,0.0,1.0
2533,Simone Verdi,Hellas Verona,5,2,30,10,1,2.18,0.08,23.1,61.7,12.2,3.64,45.5,0.0,3.64,3.64,0.0,1.09,1.82,0.73,0.18,28.9,0.18,7.27,37.5,1.0
2534,Gonzalo Verd ,Elche,5,4,34,8,1,1.04,0.2,34.4,81.7,7.29,3.54,43.6,0.0,1.04,0.42,0.0,0.21,1.88,1.46,4.58,28.3,0.0,3.96,55.0,1.0
2535,Jordan Veretout,Marseille,5,1,29,23,3,0.95,0.19,58.9,85.3,23.0,8.1,72.7,0.12,8.69,2.86,0.42,1.25,3.15,0.77,1.01,60.1,0.18,7.44,44.0,1.0
2536,Marco Verratti,Paris S-G,5,1,30,17,0,0.22,0.0,97.2,93.3,49.1,6.59,85.0,0.0,9.93,2.39,0.36,2.32,5.07,2.1,0.29,96.4,0.29,7.61,33.3,1.0
2537,Valerio Verre,Sampdoria,5,2,29,18,0,1.87,0.0,37.6,70.9,18.1,5.47,55.4,0.0,4.0,4.0,0.0,0.93,3.07,1.2,0.4,37.9,0.8,8.13,50.0,1.0
2538,Mikel Vesga,Athletic Club,5,4,29,20,2,0.73,0.08,44.5,82.4,20.1,5.52,74.6,0.12,7.15,2.12,0.24,0.97,3.09,1.15,1.45,35.9,0.12,7.15,57.1,1.0
2541,Aleix Vidal,Espanyol,5,4,33,15,0,0.37,0.0,20.7,69.7,11.0,2.1,65.4,0.0,1.6,1.48,0.12,0.25,1.98,2.22,1.23,18.1,0.25,5.06,25.0,1.0
2542,Cl ment Vidal,Ajaccio,5,1,22,13,0,1.06,0.0,34.8,77.7,9.06,6.82,65.9,0.0,4.0,0.59,0.0,0.82,2.94,1.29,2.47,34.6,0.0,4.12,64.3,1.0
2543,Nacho Vidal,Osasuna,5,4,28,13,0,0.81,0.0,35.8,77.1,18.2,2.63,41.9,0.0,2.12,1.82,0.0,1.21,3.94,1.52,2.12,23.1,0.2,4.95,72.0,1.0
2545,Fabio Vieira,Arsenal,5,5,22,12,1,2.33,0.14,37.7,79.6,21.7,1.33,30.8,0.33,4.33,3.0,0.67,0.67,2.33,0.33,0.33,35.7,0.0,6.33,50.0,1.0
2548,Emanuel Vignato,Bologna,5,2,22,8,0,0.37,0.0,29.3,79.8,14.8,1.85,62.5,0.37,3.33,1.85,0.37,1.48,2.59,0.74,0.0,28.1,0.0,3.7,50.0,1.0
2551,Tonny Vilhena,Salernitana,5,2,28,20,3,1.59,0.12,25.9,75.7,13.6,2.1,45.2,0.06,2.42,2.17,0.19,1.08,2.48,0.64,0.64,24.2,0.19,5.22,25.0,1.0
2553,Toni Villa,Girona,5,4,28,17,1,2.14,0.07,25.3,76.3,15.3,1.0,43.8,0.14,1.86,4.57,0.43,2.14,4.14,0.71,0.29,33.3,2.0,4.86,25.0,1.0
2555,Gonzalo Villar,Sampdoria,5,2,24,15,0,0.13,0.0,41.2,83.2,17.7,3.51,65.9,0.0,3.25,1.17,0.0,0.91,2.21,1.43,1.17,31.9,0.0,7.14,64.3,1.0
2561,Carlos Vin cius,Fulham,5,5,27,15,1,1.67,0.13,9.17,57.1,6.25,0.42,50.0,0.0,0.42,1.46,0.42,0.0,0.42,0.83,1.04,15.6,0.42,1.88,30.8,1.0
2562,Alan Virginius,Lille,5,1,20,10,1,5.0,0.09,16.8,75.5,8.64,0.45,50.0,0.0,1.82,3.64,0.45,0.0,1.36,0.0,0.45,27.7,2.27,1.82,12.5,1.0
2563,Mattia Viti,Nice,5,1,21,8,1,0.29,0.5,43.1,84.1,19.9,3.14,51.2,0.0,2.0,0.29,0.14,0.29,1.71,1.29,3.14,45.7,0.0,3.86,65.0,1.0
2565,Vitinha,Paris S-G,5,1,22,21,0,1.18,0.0,70.4,92.2,38.4,4.31,88.0,0.0,7.25,1.96,0.33,0.98,2.81,0.78,0.59,72.9,0.26,7.19,75.0,1.0
2566,Daniel Vivian,Athletic Club,5,4,23,15,1,0.5,0.14,40.9,81.1,11.7,6.24,60.7,0.0,3.97,0.43,0.0,1.21,3.48,0.85,3.97,37.2,0.0,7.94,41.1,1.0
2570,Kevin Vogt,Hoffenheim,5,3,31,15,0,0.0,0.0,57.0,88.8,14.6,9.12,75.8,0.0,4.31,0.73,0.0,0.73,2.34,0.73,3.43,45.7,0.0,7.08,37.5,1.0
2572,Kevin Volland,Monaco,5,1,30,8,2,3.13,0.2,19.7,65.6,10.6,2.5,88.9,0.31,2.5,2.81,0.94,0.31,1.56,0.31,0.0,32.8,0.94,5.31,46.2,1.0
2574,Aster Vranckx,Milan,4,2,20,7,0,0.0,0.0,26.3,58.3,12.5,3.75,37.5,0.0,1.25,1.25,0.0,2.5,2.5,2.5,1.25,38.8,0.0,3.75,60.0,1.0
2576,Stefan de Vrij,Inter,5,2,31,13,1,0.74,0.11,45.5,88.2,15.4,2.64,55.2,0.0,2.15,0.33,0.0,0.66,3.39,0.5,3.39,34.1,0.0,4.55,67.3,1.0
2578,Walace,Udinese,5,2,27,21,0,1.09,0.0,42.5,82.6,18.1,5.17,70.3,0.0,4.83,1.49,0.15,1.39,3.93,1.49,1.39,36.3,0.0,9.4,46.7,1.0
2580,Luca Waldschmidt,Wolfsburg,5,3,26,10,1,1.18,0.0,20.0,75.6,12.6,0.88,50.0,0.0,0.88,0.88,0.29,0.59,2.06,0.29,0.88,16.5,0.0,3.53,25.0,1.0
2581,Kyle Walker,Manchester City,5,5,32,11,0,0.34,0.0,84.9,87.6,38.9,7.5,66.7,0.0,10.5,1.48,0.23,0.23,0.91,0.34,0.57,58.2,0.0,5.45,80.0,1.0
2582,Kyle Walker-Peters,Southampton,5,5,25,16,1,0.38,0.17,31.6,72.6,19.2,1.79,43.1,0.0,2.05,1.86,0.13,1.03,2.69,1.47,1.73,28.4,0.64,5.32,43.3,1.0
2584,Aaron Wan-Bissaka,Manchester Utd,5,5,25,8,0,0.15,0.0,39.7,82.1,27.2,1.76,66.7,0.0,3.24,1.76,0.15,1.91,4.56,1.03,2.65,29.7,0.29,5.15,41.7,1.0
2587,Joel Ward,Crystal Palace,5,5,33,16,0,0.07,0.0,34.8,74.8,17.4,2.36,35.1,0.0,2.57,0.49,0.0,1.18,2.85,1.46,3.19,22.7,0.0,4.58,60.9,1.0
2588,James Ward-Prowse,Southampton,5,5,28,22,5,1.09,0.21,43.7,75.8,21.1,4.77,46.9,0.09,4.68,3.5,0.23,0.86,2.82,0.59,0.95,29.5,0.0,5.73,58.7,1.0
2589,Ollie Watkins,Aston Villa,5,5,27,20,5,2.38,0.12,12.9,70.5,8.56,0.44,72.7,0.22,1.16,2.49,0.5,0.33,0.88,0.77,0.88,16.3,0.77,2.43,39.0,1.0
2590,Timothy Weah,Lille,3,1,22,13,0,2.08,0.0,37.8,80.2,18.9,2.64,63.3,0.28,2.64,2.92,0.42,0.69,2.5,1.11,0.56,43.2,1.11,3.89,33.3,1.0
2591,Adam Webster,Brighton,5,5,28,16,0,1.01,0.0,62.5,87.3,23.6,6.26,70.2,0.0,5.4,0.72,0.07,0.58,1.94,1.29,2.73,50.6,0.0,6.69,69.1,1.0
2593,Julian Weigl,M'Gladbach,5,3,27,15,0,0.44,0.0,48.1,88.1,21.2,3.87,69.7,0.0,2.26,0.73,0.15,0.88,2.92,1.02,1.53,33.6,0.0,5.4,58.3,1.0
2595,Mitchell Weiser,Werder Bremen,5,3,28,19,1,1.04,0.05,33.7,72.1,17.6,3.02,55.6,0.38,3.52,2.97,0.66,1.7,4.07,1.81,1.37,31.8,0.49,7.03,47.4,1.0
2596,Noah Wei haupt,Freiburg,5,3,21,9,0,0.67,0.0,11.3,53.1,5.33,2.67,57.1,0.0,0.0,1.33,0.0,0.67,4.0,1.33,2.67,19.3,1.33,5.33,75.0,1.0
2598,Danny Welbeck,Brighton,5,5,32,16,1,2.52,0.03,14.4,82.4,9.29,0.16,33.3,0.16,1.18,2.36,0.55,0.39,0.94,0.79,0.87,17.6,0.39,1.26,52.2,1.0
2600,Timo Werner,RB Leipzig,5,3,26,14,5,2.86,0.16,20.4,70.9,11.4,0.8,52.9,0.09,1.96,1.79,0.27,0.18,0.63,0.45,0.27,23.3,1.88,2.32,28.6,1.0
2601,Ben White,Arsenal,5,5,25,21,0,0.27,0.0,54.8,83.6,24.5,3.69,53.9,0.11,7.38,2.19,0.37,1.28,2.83,1.44,2.51,42.1,0.0,4.17,48.8,1.0
2603,Silvan Widmer,Mainz 05,3,3,29,16,2,1.31,0.12,32.2,69.7,17.0,2.85,44.0,0.0,2.38,1.92,0.0,0.77,3.31,1.08,1.23,26.4,0.0,5.15,35.5,1.0
2604,Mateusz Wieteska,Clermont Foot,1,1,26,23,0,0.48,0.0,38.3,82.1,15.2,3.3,50.7,0.04,2.83,0.57,0.09,0.7,2.78,1.26,3.0,38.7,0.0,4.96,58.1,1.0
2606,I aki Williams,Athletic Club,2,4,28,19,5,2.42,0.13,14.5,63.6,8.85,0.79,44.8,0.12,0.79,2.24,0.42,0.55,0.97,0.36,0.91,20.4,1.33,2.36,47.1,1.0
2607,Neco Williams,Nott'ham Forest,2,5,21,21,0,1.48,0.0,28.8,63.9,13.1,3.93,39.0,0.0,1.26,2.07,0.15,2.44,5.7,1.56,2.15,29.6,0.22,6.44,42.3,1.0
2608,Nico Williams,Athletic Club,5,4,20,21,4,2.14,0.1,21.8,67.5,13.0,1.21,42.3,0.22,0.88,3.52,0.44,0.49,1.26,1.65,0.33,30.0,2.25,4.78,33.3,1.0
2609,Willian,Fulham,5,5,34,16,3,1.72,0.13,29.9,79.2,15.1,3.43,63.9,0.15,1.87,4.48,0.6,0.45,1.27,0.6,0.3,31.3,1.19,5.37,35.3,1.0
2610,Joe Willock,Newcastle Utd,5,5,23,22,2,1.8,0.06,28.0,80.9,15.5,2.13,65.5,0.11,3.03,2.58,0.17,1.18,2.7,2.3,0.67,27.5,1.18,4.83,47.8,1.0
2611,Callum Wilson,Newcastle Utd,5,5,30,16,7,3.28,0.15,8.24,71.0,5.52,0.16,33.3,0.24,0.64,1.84,0.4,0.08,0.64,0.08,0.32,13.1,0.72,1.52,30.4,1.0
2612,Harry Wilson,Fulham,2,5,25,14,0,2.05,0.0,30.5,75.3,17.2,1.79,43.8,0.0,1.79,1.28,0.26,1.54,2.82,1.28,1.03,33.1,1.03,4.62,60.0,1.0
2613,Patrick Wimmer,Wolfsburg,3,3,21,13,2,1.35,0.15,18.3,59.9,9.27,1.25,35.3,0.52,1.46,4.17,0.73,1.35,3.33,1.46,1.04,24.8,0.83,4.9,52.0,1.0
2614,Jonas Wind,Wolfsburg,4,3,24,11,4,2.42,0.27,17.7,67.9,13.1,0.16,33.3,0.0,3.06,3.23,0.65,0.16,0.81,0.65,0.97,20.8,0.16,3.39,61.7,1.0
2620,Axel Witsel,Atl tico Madrid,4,4,34,17,0,0.36,0.0,51.2,93.0,22.9,2.23,72.1,0.0,3.17,0.94,0.14,0.58,1.8,0.86,3.31,39.9,0.0,5.04,56.4,1.0
2622,Hannes Wolf,M'Gladbach,3,3,23,8,1,1.82,0.5,30.0,73.3,18.2,0.91,50.0,0.91,0.91,2.73,0.91,1.82,3.64,0.91,4.55,38.2,1.82,7.27,50.0,1.0
2623,Marius Wolf,Dortmund,5,3,27,13,1,1.43,0.09,40.5,75.0,20.3,3.38,50.0,0.13,3.12,2.34,0.39,0.78,2.47,2.47,1.43,37.5,0.65,5.32,71.4,1.0
2624,Jeong Woo-yeong,Freiburg,3,3,23,17,1,1.56,0.1,25.0,78.0,15.5,0.78,62.5,0.16,1.25,2.66,0.63,0.31,1.09,1.09,1.09,24.1,0.63,3.44,17.6,1.0
2627,Christopher Wooh,Rennes,2,1,21,9,0,0.66,0.0,46.7,89.9,10.9,5.26,72.7,0.0,2.5,0.53,0.26,0.53,1.58,0.92,4.47,48.2,0.0,3.95,72.2,1.0
2629,Joe Worrall,Nott'ham Forest,5,5,26,17,0,0.29,0.0,41.7,80.1,12.2,6.76,62.7,0.0,3.67,0.58,0.0,0.94,3.38,1.22,4.03,31.3,0.0,5.4,72.5,1.0
2630,Xeka,Rennes,5,1,28,8,0,0.82,0.0,45.7,89.4,19.0,5.74,87.5,0.0,5.25,1.31,0.16,0.49,2.62,1.8,1.31,45.2,0.0,6.23,34.8,1.0
