,Name,Team,Nation_Ranking,League_Ranking,Age,MP,Goals,Shots,G/Sh,CompPass,CompPass%,ShoPass,LongPass,LongPass%,Assists,Pas3rd,SCA,GCA,TklWon,TklInt,Blocks,Clearence,Carries,CPA,Recov,AerWon%,Market_Value
0,Brendan Aaronson,Leeds United,3,5,22,20,1,1.53,0.04,23.2,74.9,13.3,0.9,38.1,0.11,1.75,3.62,0.28,0.51,1.69,1.69,0.28,26.7,0.4,4.86,22.2,1.0
1,Yunis Abdelhamid,Reims,4,1,35,22,0,0.86,0.0,38.5,81.5,10.9,3.77,53.9,0.05,2.91,1.14,0.18,1.59,4.5,2.23,2.91,40.0,0.09,6.64,64.0,1.0
2,Himad Abdelli,Angers,5,1,23,14,0,1.05,0.0,40.0,80.8,18.5,4.42,74.5,0.0,3.95,2.67,0.0,1.4,3.84,1.51,0.93,48.5,0.47,8.14,47.1,1.0
3,Salis Abdul Samed,Lens,2,1,22,20,1,0.6,0.08,59.5,91.6,29.6,3.35,77.9,0.0,6.0,1.6,0.0,0.8,2.6,1.3,0.8,61.0,0.15,6.6,50.0,1.0
4,Laurent Abergel,Lorient,5,1,30,15,0,0.31,0.0,37.9,87.3,17.9,2.64,66.7,0.08,3.88,1.24,0.08,2.02,4.96,1.4,1.55,41.0,0.0,6.51,44.4,1.0
7,Matthis Abline,Rennes,5,1,19,11,1,5.0,0.17,5.83,46.7,2.5,0.83,100.0,0.0,0.83,5.83,1.67,0.83,2.5,0.83,0.83,22.5,1.67,1.67,20.0,1.0
9,Zakaria Aboukhlal,Toulouse,4,1,22,22,5,2.75,0.11,17.6,69.7,11.7,0.24,28.6,0.24,0.78,2.34,0.24,0.72,1.98,0.54,0.66,28.6,1.14,4.43,24.1,1.0
10,Tammy Abraham,Roma,5,2,25,22,6,2.67,0.13,13.7,68.6,8.13,0.91,69.6,0.17,0.63,3.07,0.51,0.4,0.91,0.51,0.45,16.8,0.63,1.87,51.7,1.0
11,Francesco Acerbi,Inter,5,2,35,14,0,0.49,0.0,51.7,87.7,18.9,6.02,74.0,0.08,3.09,0.98,0.0,0.57,2.28,0.57,3.33,36.7,0.08,4.96,63.0,1.0
13,Marcos Acu a,Sevilla,5,4,31,16,2,1.47,0.13,46.5,73.9,22.1,6.42,48.3,0.09,2.39,3.03,0.18,1.74,4.77,1.01,1.28,40.4,0.28,7.52,56.5,1.0
14,Che Adams,Southampton,4,5,26,21,4,2.06,0.11,14.6,65.8,9.26,1.26,71.0,0.11,0.97,2.63,0.29,0.69,1.09,0.51,1.03,18.0,0.46,2.29,37.1,1.0
15,Tyler Adams,Leeds United,3,5,23,19,0,0.11,0.0,47.1,82.0,25.7,2.84,60.0,0.0,4.37,1.84,0.05,2.0,5.53,1.84,1.16,35.2,0.0,8.68,58.6,1.0
17,Tosin Adarabioyo,Fulham,5,5,25,14,1,0.33,0.25,38.9,80.1,9.59,3.77,48.4,0.0,2.38,0.41,0.0,0.41,2.13,0.82,5.33,28.9,0.0,4.67,83.9,1.0
19,Karim Adeyemi,Dortmund,5,3,21,15,2,2.24,0.11,24.2,73.6,14.9,0.71,40.0,0.12,1.41,3.65,0.59,0.71,1.88,1.18,0.12,31.3,0.94,4.94,77.8,1.0
20,Amine Adli,Leverkusen,5,3,22,13,1,1.94,0.07,26.3,79.4,16.1,1.25,60.0,0.28,2.22,2.64,0.42,1.11,1.94,2.08,0.56,27.8,0.69,3.75,40.7,1.0
22,Michel Aebischer,Bologna,3,2,26,18,1,1.16,0.1,32.6,81.9,18.0,2.33,60.6,0.0,2.21,2.21,0.23,0.12,0.81,1.28,0.7,27.7,0.23,5.0,35.7,1.0
23,Felix Afena-Gyan,Cremonese,2,2,20,12,0,2.5,0.0,17.8,78.9,12.3,0.75,60.0,0.0,0.75,1.75,0.0,0.5,1.0,0.25,0.75,22.3,0.5,4.25,33.3,1.0
24,Emmanuel Agbadou,Reims,3,1,25,19,0,0.79,0.0,43.4,85.4,13.1,6.8,69.1,0.11,3.2,1.18,0.17,1.63,3.76,1.12,4.33,43.5,0.11,8.2,57.9,1.0
27, lvaro Aguado,Valladolid,5,4,26,19,0,0.71,0.0,44.2,83.0,16.7,8.57,73.0,0.16,5.32,3.17,0.32,0.48,1.59,0.87,0.56,38.8,0.08,5.71,48.0,1.0
28,Kevin Agudelo,Spezia,4,2,24,21,0,1.13,0.0,19.6,70.6,11.1,1.19,54.3,0.0,2.44,1.88,0.13,1.38,3.38,1.75,0.13,23.9,0.69,5.69,31.0,1.0
29,Nayef Aguerd,West Ham,4,5,26,6,0,0.88,0.0,30.9,78.2,10.0,4.04,50.0,0.0,1.93,0.18,0.0,1.58,3.33,1.23,4.39,27.7,0.0,5.26,62.5,1.0
30,Ruben Aguilar,Monaco,5,1,29,13,0,0.29,0.0,47.9,81.7,25.0,2.79,54.3,0.0,4.26,1.18,0.29,0.74,3.82,0.44,2.79,42.9,0.15,5.29,35.7,1.0
32,Naouirou Ahamada,Stuttgart,5,3,20,17,2,1.03,0.13,29.0,84.9,14.4,1.35,52.5,0.13,2.45,2.45,0.45,0.71,1.61,1.03,0.45,26.3,0.39,5.68,30.4,1.0
34,Jean-Eudes Aholou,Strasbourg,3,1,28,19,1,0.97,0.11,26.1,71.9,12.7,2.26,55.3,0.0,2.15,1.4,0.11,1.4,3.87,1.29,0.75,35.3,0.75,5.27,51.9,1.0
35,Joseph Aidoo,Celta Vigo,2,4,27,20,2,0.45,0.22,43.4,85.4,11.6,4.85,65.1,0.0,2.3,0.3,0.0,1.05,2.5,0.9,4.2,38.2,0.0,6.5,48.6,1.0
36,Ola Aina,Torino,3,2,26,12,1,0.93,0.14,41.5,74.4,21.7,5.2,53.4,0.13,3.07,2.93,0.4,1.33,2.8,1.2,2.67,36.7,0.53,6.27,60.0,1.0
37,Rayan A t Nouri,Wolves,5,5,21,17,1,0.99,0.1,39.3,81.2,21.9,1.98,66.7,0.0,2.38,2.18,0.0,1.58,3.37,0.2,2.57,32.3,0.99,5.25,48.1,1.0
38,Emanuel Aiwum,Cremonese,3,2,22,15,0,0.26,0.0,36.4,77.0,16.8,2.63,42.3,0.0,3.16,0.88,0.0,2.28,5.44,1.32,3.25,29.0,0.0,7.02,73.1,1.0
39,Kristoffer Ajer,Brentford,2,5,24,9,0,0.12,0.0,30.5,75.1,15.4,2.71,57.5,0.0,2.35,0.47,0.0,0.94,2.12,0.71,2.59,25.2,0.0,4.24,57.7,1.0
40,Ludovic Ajorque,Strasbourg,5,1,28,13,1,2.56,0.0,20.7,69.8,12.0,1.28,68.8,0.0,1.16,2.56,0.23,0.47,0.81,0.35,0.81,26.2,0.12,2.44,60.2,1.0
42,Manuel Akanji,Manchester City,3,5,27,15,0,0.77,0.0,76.2,94.2,33.4,4.76,74.7,0.07,5.17,1.26,0.0,1.05,2.31,1.33,1.19,63.6,0.0,5.38,37.5,1.0
43,Nathan Ak ,Manchester City,5,5,27,15,0,0.31,0.0,84.2,91.5,39.7,3.75,67.6,0.0,7.58,1.17,0.16,0.55,2.27,1.02,1.64,63.8,0.16,5.0,56.4,1.0
44,Sergio Akieme,Almer a,5,4,25,21,0,1.05,0.0,34.0,77.3,17.5,2.14,40.5,0.0,2.0,1.57,0.1,0.76,1.9,1.0,1.48,27.2,0.52,5.14,45.8,1.0
45,Maghnes Akliouche,Monaco,5,1,20,6,0,0.36,0.0,28.2,74.5,17.9,0.71,40.0,0.0,2.5,1.79,0.0,1.07,2.86,0.36,0.71,38.2,0.36,6.43,40.0,1.0
46,Paul Akouokou,Betis,3,4,25,6,0,0.77,0.0,36.2,93.1,15.4,5.38,93.3,0.0,3.08,0.38,0.0,1.92,5.38,0.0,0.77,20.0,0.0,6.54,14.3,1.0
47,Jean-Daniel Akpa-Akpro,Empoli,3,2,30,12,0,1.04,0.0,24.8,77.9,13.0,1.04,63.6,0.0,1.94,1.64,0.0,2.39,4.03,3.43,1.94,24.6,0.6,4.78,60.0,1.0
48,Kevin Akpoguma,Hoffenheim,3,3,27,16,0,0.53,0.0,37.6,78.7,12.7,3.77,48.9,0.0,3.77,0.7,0.0,1.93,4.3,2.28,2.37,31.8,0.26,6.05,56.0,1.0
49,David Alaba,Real Madrid,3,4,30,17,1,0.59,0.11,50.2,88.3,28.6,2.7,57.7,0.2,3.55,1.58,0.26,0.53,1.38,0.79,1.64,38.0,0.07,4.67,45.5,1.0
51,Lucas Alario,Eint Frankfurt,5,3,30,12,1,3.21,0.11,14.6,69.5,7.86,1.43,100.0,0.0,1.07,2.5,0.71,0.71,1.07,0.0,3.57,15.0,0.36,2.86,40.7,1.0
52,Jordi Alba,Barcelona,5,4,33,14,1,0.87,0.11,82.6,85.2,45.2,5.83,64.5,0.29,9.51,3.98,0.39,1.26,2.14,0.78,1.36,62.5,0.39,6.8,37.5,1.0
53,Luis Alberto,Lazio,5,2,30,19,4,1.45,0.18,53.3,80.0,29.2,4.36,48.1,0.26,6.07,3.25,0.51,0.94,2.22,1.2,0.09,40.7,0.43,6.07,30.0,1.0
54,Ra l Albiol,Villarreal,5,4,37,17,0,0.06,0.0,54.7,88.6,12.8,9.11,74.4,0.0,4.02,0.59,0.0,0.65,1.66,0.83,4.56,44.4,0.0,4.32,64.4,1.0
55,Marc Albrighton,Leicester City,5,5,33,6,1,0.77,0.5,34.6,60.4,18.8,4.62,35.3,0.0,2.31,3.08,0.0,0.38,1.92,2.31,1.92,31.9,0.0,5.38,50.0,1.0
56,Thiago Alc ntara,Liverpool,5,5,31,14,0,0.7,0.0,65.8,85.9,30.7,9.45,79.1,0.0,7.42,3.05,0.16,1.8,4.61,1.09,0.94,49.5,0.0,8.13,36.8,1.0
58,Rub n Alcaraz,C diz,5,4,31,16,1,1.52,0.06,32.5,78.6,13.5,4.64,58.4,0.0,3.39,1.88,0.18,1.7,3.3,0.98,1.52,27.3,0.09,6.79,53.1,1.0
60,Iv n Alejo,C diz,5,4,28,16,0,1.48,0.0,13.3,56.0,8.4,0.99,30.8,0.12,0.37,2.72,0.12,1.98,3.21,1.48,0.86,21.9,0.25,4.57,58.3,1.0
62,Carles Ale  ,Getafe,5,4,25,19,2,1.3,0.1,28.3,77.2,13.8,3.02,61.3,0.12,3.02,1.67,0.19,0.62,1.17,0.74,0.86,27.2,0.06,4.81,30.0,1.0
63,Trent Alexander-Arnold,Liverpool,5,5,24,20,1,1.31,0.05,64.9,73.1,30.4,9.94,48.2,0.06,7.0,4.0,0.31,1.06,2.81,0.75,1.13,52.4,0.31,7.56,61.1,1.0
65, ngel Algobia,Getafe,5,4,23,14,0,0.36,0.0,36.6,82.4,16.1,4.1,68.0,0.0,2.29,1.2,0.12,0.84,2.29,1.33,0.72,27.8,0.24,5.18,30.0,1.0
66,Mohamed Ali Cho,Real Sociedad,5,4,19,8,0,3.14,0.0,13.1,63.0,8.86,0.57,25.0,0.57,0.57,3.14,0.57,0.86,2.0,1.71,0.57,27.7,2.0,5.14,11.1,1.0
67,Faride Alidou,Eint Frankfurt,5,3,21,9,0,1.43,0.0,30.7,75.4,15.7,1.43,40.0,0.0,3.57,3.57,0.0,2.86,5.71,0.0,0.0,24.3,1.43,7.14,12.5,1.0
71,Domingos Andr  Ribeiro Almeida,Valencia,5,4,22,18,2,0.79,0.18,40.1,81.6,21.4,3.38,52.8,0.22,5.4,3.45,0.29,1.73,3.24,0.86,0.58,38.3,0.14,5.68,36.0,1.0
73,Marcos Alonso,Barcelona,5,4,32,12,1,0.43,0.33,73.6,91.2,27.8,6.81,78.3,0.0,5.36,1.01,0.14,0.72,2.03,1.01,2.32,60.0,0.0,5.22,57.9,1.0
77,Gast n  lvarez,Getafe,4,4,22,10,2,0.32,1.0,21.1,65.5,10.8,1.75,37.9,0.0,1.9,0.63,0.16,1.43,3.65,0.95,2.7,16.8,0.0,3.81,50.0,1.0
78,Juli n  lvarez,Manchester City,5,5,23,16,4,2.97,0.21,24.7,79.0,15.3,1.09,63.6,0.0,1.72,2.81,0.0,0.78,1.56,1.25,0.16,23.4,1.41,2.19,31.3,1.0
79,Agust n  lvarez Mart nez,Sassuolo,4,2,21,16,1,3.33,0.09,15.8,80.0,10.6,1.21,80.0,0.3,0.91,1.82,0.61,0.61,1.82,0.91,0.91,17.9,0.3,4.55,47.1,1.0
80,Yeray  lvarez,Athletic Club,5,4,28,18,1,0.34,0.17,44.3,81.9,14.7,6.55,58.2,0.06,5.69,1.15,0.11,0.8,3.33,0.92,3.74,34.7,0.0,7.07,57.4,1.0
81,Ibrahim Amadou,Angers,5,1,29,6,0,0.44,0.0,33.8,86.9,10.7,2.67,52.2,0.0,0.67,0.67,0.0,1.33,3.78,1.33,4.0,34.7,0.0,5.33,54.5,1.0
82,Daniel Amartey,Leicester City,2,5,28,17,0,0.2,0.0,57.5,91.5,25.2,3.82,69.0,0.0,3.42,0.92,0.07,0.39,1.64,1.25,3.82,43.7,0.0,5.53,55.8,1.0
83,Amath,Mallorca,3,4,26,14,1,1.82,0.1,16.7,77.3,10.9,0.73,57.1,0.0,0.91,2.73,0.36,1.82,3.45,0.55,0.36,19.5,1.09,4.55,28.6,1.0
85,Kelvin Amian,Spezia,5,2,25,15,0,0.77,0.0,29.8,74.9,14.4,2.31,51.9,0.09,2.39,0.94,0.09,1.2,3.16,0.94,3.5,21.3,0.09,3.85,50.0,1.0
87,Bruno Amione,Sampdoria,5,2,21,10,0,0.57,0.0,36.7,77.1,15.3,2.73,50.0,0.11,0.91,0.68,0.11,1.59,3.86,1.14,2.39,27.0,0.0,5.34,64.4,1.0
88,Nadiem Amiri,Leverkusen,5,3,26,15,2,1.69,0.17,37.0,83.8,18.3,3.8,65.9,0.14,3.8,3.1,0.56,0.42,1.55,0.99,1.27,29.2,0.56,6.34,0.0,1.0
89,Ethan Ampadu,Spezia,2,2,22,16,0,0.79,0.0,36.4,74.7,13.8,3.97,46.5,0.07,4.24,1.79,0.26,1.66,4.11,1.85,2.05,29.7,0.0,7.09,63.6,1.0
90,Sofyan Amrabat,Fiorentina,4,2,26,18,0,0.54,0.0,62.2,88.8,20.5,9.69,82.2,0.0,8.29,1.71,0.0,1.16,2.87,1.09,0.62,52.6,0.0,7.36,50.0,1.0
91,Joachim Andersen,Crystal Palace,4,5,26,17,1,0.67,0.09,50.9,79.8,11.8,9.09,52.7,0.0,4.15,0.61,0.06,0.67,2.44,1.04,6.95,43.5,0.12,6.1,69.0,1.0
92,Elliot Anderson,Newcastle Utd,4,5,20,10,0,3.08,0.0,41.5,76.1,20.8,1.54,100.0,0.0,5.38,6.92,0.0,2.31,5.38,3.08,0.0,53.8,6.92,9.23,71.4,1.0
93,Felipe Anderson,Lazio,5,2,29,22,6,1.18,0.27,30.4,76.3,19.1,1.55,56.9,0.11,1.82,3.05,0.48,1.44,2.94,1.66,0.86,27.8,0.91,4.01,34.8,1.0
94,Benjamin Andr ,Lille,5,1,32,20,1,0.77,0.07,57.3,84.3,25.2,6.82,74.3,0.05,8.51,2.46,0.26,2.31,5.59,1.69,2.0,60.7,0.0,8.92,61.9,1.0
96,Robert Andrich,Leverkusen,5,3,28,18,2,1.02,0.13,44.8,83.7,22.1,3.31,68.4,0.13,3.44,1.46,0.19,1.59,3.57,1.15,2.1,25.0,0.0,5.48,52.4,1.0
97,Angeli o,Hoffenheim,5,3,26,19,0,0.62,0.0,36.1,66.2,15.4,5.03,44.7,0.28,2.66,3.28,0.4,0.45,1.75,1.07,1.81,28.9,0.06,4.97,31.8,1.0
98,Fabrizio Angileri,Getafe,5,4,28,8,0,0.53,0.0,22.8,58.8,10.5,1.75,33.3,0.0,2.28,0.88,0.35,0.88,2.28,1.23,1.4,17.9,0.0,2.81,66.7,1.0
99,Jaidon Anthony,Bournemouth,5,5,23,17,3,1.95,0.18,28.9,73.0,16.8,2.3,55.6,0.0,1.72,3.1,0.11,1.49,3.33,1.84,1.03,30.1,0.92,5.17,47.1,1.0
101,Waldemar Anton,Stuttgart,5,3,26,20,1,0.75,0.07,49.7,79.8,15.3,5.48,54.2,0.0,3.22,1.16,0.05,1.01,2.91,1.31,3.57,40.2,0.05,7.49,52.9,1.0
102,Marcos Ant nio,Lazio,5,2,22,11,0,0.0,0.0,52.6,89.3,31.7,3.43,75.0,0.0,5.43,0.57,0.0,1.14,2.29,0.57,3.14,40.9,0.0,6.29,0.0,1.0
104,Antony,Manchester Utd,5,5,22,12,3,3.27,0.09,31.6,77.2,22.4,1.19,48.0,0.0,1.39,2.97,0.1,0.3,1.78,0.79,0.3,37.8,1.39,4.95,27.3,1.0
106,Christopher Antwi-Adjei,Bochum,2,3,29,15,2,1.48,0.15,16.7,58.1,8.75,1.82,40.0,0.68,0.57,4.43,1.02,0.91,1.7,0.91,0.34,23.6,1.02,5.8,28.6,1.0
108,Houssem Aouar,Lyon,5,1,24,9,1,1.33,0.17,51.1,79.0,27.6,4.67,65.6,0.22,6.89,1.78,0.44,0.67,3.11,2.22,0.44,61.6,0.89,4.89,71.4,1.0
109,Adil Aouchiche,Lorient,5,1,20,6,0,3.33,0.0,44.4,75.5,20.0,8.89,57.1,0.0,5.56,3.33,0.0,0.0,1.11,0.0,0.0,52.2,0.0,3.33,0.0,1.0
110,Dennis Appiah,Nantes,5,1,30,15,0,0.57,0.0,38.5,72.4,17.3,2.5,41.5,0.0,3.41,1.25,0.11,1.25,3.52,1.48,1.82,42.3,0.0,5.68,50.0,1.0
111,Mauro Arambarri,Getafe,4,4,27,7,0,0.92,0.0,34.5,83.0,12.2,5.38,60.3,0.15,3.23,2.0,0.46,0.62,2.46,2.0,1.54,24.9,0.0,5.69,54.5,1.0
113,Ronald Ara jo,Barcelona,4,4,23,10,0,0.63,0.0,58.1,88.7,20.0,6.21,67.8,0.11,5.47,0.95,0.32,0.95,2.21,0.42,1.89,47.2,0.11,3.68,62.5,1.0
117,Joe Aribo,Southampton,3,5,26,19,2,1.07,0.15,21.1,72.9,14.6,0.74,75.0,0.0,1.56,2.13,0.08,1.56,3.03,1.07,0.82,22.3,0.57,5.9,42.9,1.0
118,Adam Armstrong,Southampton,5,5,26,20,1,1.67,0.05,16.2,73.4,8.77,1.05,63.2,0.09,0.96,1.58,0.09,0.53,1.14,1.14,0.44,18.2,0.79,3.86,17.6,1.0
119,Stuart Armstrong,Southampton,4,5,30,18,1,1.53,0.08,34.2,79.3,18.4,2.35,69.0,0.0,3.06,4.24,0.0,0.94,2.0,1.06,0.71,34.2,0.35,5.41,50.0,1.0
121,Maximilian Arnold,Wolfsburg,5,3,28,20,4,1.04,0.1,38.3,74.2,9.9,8.33,54.6,0.1,3.33,3.33,0.36,0.89,2.55,1.25,2.08,29.6,0.05,7.55,48.7,1.0
124,Tolgay Arslan,Udinese,5,2,32,20,1,2.09,0.05,33.6,79.7,15.1,4.95,72.6,0.0,3.3,2.75,0.0,0.99,2.53,1.21,0.99,33.3,1.1,4.84,71.4,1.0
125,Arthur,Fiorentina,5,2,24,16,3,3.24,0.08,13.4,71.7,8.78,0.68,71.4,0.14,0.27,2.3,0.14,0.27,0.81,0.81,0.41,17.6,0.54,1.89,47.8,1.0
127,Takuma Asano,Bochum,3,3,28,11,1,2.68,0.05,14.1,70.9,9.44,0.28,28.6,0.0,1.13,3.1,0.56,0.42,1.13,1.13,0.14,18.0,0.7,4.37,33.3,1.0
128,Santiago Ascac bar,Cremonese,5,2,25,13,0,1.73,0.0,44.2,82.3,22.5,4.2,60.7,0.0,6.17,3.09,0.37,1.73,5.31,1.73,1.36,31.4,0.0,7.65,33.3,1.0
130,Marco Asensio,Real Madrid,5,4,27,15,2,3.75,0.1,39.8,81.4,22.5,4.46,56.8,0.54,3.39,4.11,0.71,0.89,1.79,0.54,0.36,37.9,0.54,2.5,100.0,1.0
131,Kristoffer Askildsen,Lecce,2,2,22,16,0,1.36,0.0,21.4,63.8,10.2,3.18,50.0,0.0,2.73,2.12,0.15,0.45,2.58,1.67,0.91,17.3,0.15,5.61,53.1,1.0
134,Iago Aspas,Celta Vigo,5,4,35,20,9,2.27,0.19,29.0,77.2,16.4,2.49,73.0,0.16,2.54,4.32,0.27,0.05,0.38,0.43,0.65,30.9,0.97,3.35,40.9,1.0
136,Youcef Atal,Nice,3,1,26,13,1,1.27,0.11,47.0,80.7,26.5,3.8,55.1,0.0,3.1,3.66,0.28,2.68,6.34,0.85,1.55,50.6,0.7,5.77,46.2,1.0
140,Tommaso Augello,Sampdoria,5,2,28,20,1,0.33,0.17,37.6,72.0,17.0,3.59,51.2,0.11,2.43,2.15,0.22,0.39,0.88,0.72,1.71,30.9,0.17,4.64,53.1,1.0
143,Serge Aurier,Nott'ham Forest,3,5,30,14,1,0.5,0.17,33.6,68.1,18.3,2.25,45.8,0.0,1.92,1.58,0.0,2.0,4.75,1.5,3.83,27.7,0.0,6.58,65.2,1.0
144,Mathias Autret,Auxerre,5,1,31,19,2,1.52,0.05,31.5,75.6,12.0,6.29,64.3,0.15,4.02,3.79,0.53,0.76,2.35,0.83,0.91,35.8,0.23,4.92,27.8,1.0
145,Ezequiel  vila,Osasuna,5,4,29,18,7,3.1,0.13,15.3,56.0,7.21,3.49,50.0,0.16,1.47,2.48,0.16,0.23,0.85,0.47,0.7,21.9,0.39,3.1,42.6,1.0
147,Taiwo Awoniyi,Nott'ham Forest,3,5,25,16,4,2.35,0.21,11.1,72.6,7.78,0.12,25.0,0.0,0.37,2.1,0.12,0.99,1.36,0.86,1.23,17.4,0.62,4.07,18.9,1.0
148,Mehmet-Can Aydin,Schalke 04,5,3,21,10,0,1.52,0.0,24.5,60.0,11.5,2.42,57.1,0.0,1.21,1.52,0.0,2.73,5.45,1.82,1.82,23.6,0.61,7.27,50.0,1.0
150,Jordan Ayew,Crystal Palace,2,5,31,22,1,0.78,0.08,21.4,76.2,13.6,0.42,33.3,0.06,0.9,2.71,0.18,1.81,3.31,1.2,1.33,25.2,0.84,5.48,32.2,1.0
151,Kaan Ayhan,Sassuolo,3,2,28,10,0,0.16,0.0,47.2,86.7,13.8,7.87,66.7,0.0,3.28,0.82,0.0,0.66,2.46,0.82,4.26,38.5,0.0,4.59,22.2,1.0
152,Luke Ayling,Leeds United,5,5,31,14,0,0.9,0.0,33.1,67.2,18.8,3.21,49.0,0.13,3.33,1.67,0.13,1.79,4.87,2.18,2.18,25.9,0.26,6.92,51.1,1.0
155,C sar Azpilicueta,Chelsea,5,5,33,18,0,0.44,0.0,54.6,80.6,30.6,1.14,23.6,0.0,2.28,1.49,0.09,1.32,3.51,1.67,3.6,37.3,0.0,3.86,59.5,1.0
157,Iddrisu Baba,Mallorca,2,4,27,17,0,0.63,0.0,25.5,83.0,10.6,2.79,63.3,0.0,2.7,0.72,0.0,0.99,2.61,0.81,1.53,22.1,0.0,6.67,64.0,1.0
159,Lo c Bade,Sevilla,5,4,22,6,0,0.2,0.0,68.8,89.6,27.4,5.8,69.0,0.0,5.4,0.2,0.0,1.2,2.6,1.0,3.4,60.2,0.0,7.6,44.4,1.0
163,Beno t Badiashile,Monaco,5,1,21,11,2,0.54,0.4,43.3,86.1,13.2,6.45,72.3,0.0,4.95,0.43,0.0,0.86,2.9,0.97,4.3,43.2,0.11,7.2,75.0,1.0
164,Alex Baena,Villarreal,5,4,21,18,4,2.96,0.12,26.3,77.5,13.4,1.91,64.7,0.09,2.61,3.48,0.35,0.78,1.83,0.78,0.96,29.9,0.7,5.22,0.0,1.0
167,Eric Bailly,Marseille,3,1,28,7,0,0.51,0.0,36.2,83.9,11.8,7.18,82.4,0.0,2.31,0.51,0.0,1.54,4.1,2.05,2.31,31.5,0.0,5.64,52.6,1.0
169,Brandon Baiye,Clermont Foot,4,1,22,7,0,0.0,0.0,45.0,84.4,23.3,3.33,100.0,0.0,1.67,3.33,0.0,3.33,6.67,1.67,5.0,45.0,0.0,3.33,0.0,1.0
174,Mitchel Bakker,Leverkusen,5,3,22,17,2,0.93,0.2,43.5,79.1,23.2,2.96,55.2,0.09,1.85,1.76,0.09,0.65,1.67,0.83,1.11,30.6,0.46,6.39,52.9,1.0
175,Ridle Baku,Wolfsburg,5,3,24,20,5,1.09,0.24,43.3,78.6,16.9,4.69,60.0,0.05,4.22,2.29,0.26,0.68,2.45,1.67,2.14,36.9,0.26,5.83,37.1,1.0
176,Tommaso Baldanzi,Empoli,5,2,19,13,4,1.41,0.33,30.5,83.0,16.0,1.29,52.4,0.0,2.24,3.53,0.24,0.82,1.88,0.82,0.24,29.8,0.82,3.18,40.0,1.0
177,Alejandro Balde,Barcelona,5,4,19,18,0,0.45,0.0,59.3,90.6,35.0,2.99,70.2,0.3,3.51,2.09,0.3,1.34,2.24,1.19,0.75,48.6,1.04,6.27,33.3,1.0
178,Thierno Balde,Troyes,5,1,20,18,0,0.27,0.0,33.9,83.3,17.1,1.56,62.2,0.0,1.36,2.04,0.2,0.75,2.65,0.61,1.56,33.5,0.27,6.26,22.2,1.0
179,Carlos Baleba,Lille,2,1,19,9,0,2.0,0.0,53.3,83.8,20.3,8.67,83.9,0.0,7.0,3.0,0.0,3.0,3.67,3.33,0.67,65.0,0.33,8.33,16.7,1.0
181,Leonardo Balerdi,Marseille,5,1,24,23,0,0.15,0.0,47.4,85.4,13.8,6.33,75.6,0.05,3.47,0.26,0.05,1.07,3.62,1.53,3.06,47.8,0.0,6.38,50.7,1.0
184,Folarin Balogun,Reims,5,1,21,21,14,3.33,0.17,10.5,65.3,6.21,0.4,41.2,0.06,0.85,2.15,0.34,0.11,0.34,0.9,0.62,21.2,1.36,2.94,20.0,1.0
185,Abdoulaye Bamba,Angers,3,1,32,9,0,0.0,0.0,35.2,80.7,15.2,2.42,51.7,0.0,4.35,0.81,0.0,1.13,3.71,0.65,1.77,36.0,0.0,4.84,54.5,1.0
186,Jonathan Bamba,Lille,5,1,26,18,4,2.47,0.1,36.0,78.4,22.2,1.79,58.0,0.19,2.65,4.2,0.49,0.49,1.79,1.05,0.31,46.9,1.05,5.31,39.4,1.0
187,Patrick Bamford,Leeds United,5,5,29,14,1,3.03,0.05,13.5,70.6,9.55,0.0,0.0,0.3,0.91,1.06,0.3,0.45,0.61,0.45,0.91,14.1,0.91,2.88,33.3,1.0
189,Filippo Bandinelli,Empoli,5,2,27,22,2,1.08,0.11,30.8,73.5,14.7,2.51,46.7,0.0,2.34,2.81,0.12,1.32,2.63,0.72,1.56,30.2,0.3,5.45,30.0,1.0
190,L o Baptist o,Almer a,5,4,30,16,3,2.95,0.1,20.9,69.1,10.0,1.9,47.6,0.1,1.62,3.24,0.29,1.33,3.52,0.67,0.48,24.7,0.57,6.29,36.8,1.0
193,Anton n Bar k,Fiorentina,1,2,28,17,1,1.44,0.06,29.3,80.6,16.1,2.07,65.7,0.0,3.42,1.89,0.0,0.63,1.35,0.72,0.72,28.1,0.27,3.6,33.3,1.0
194,Andrea Barberis,Monza,5,2,29,7,0,0.57,0.0,38.0,84.2,18.3,2.0,70.0,0.29,4.0,2.57,0.57,0.57,4.0,0.0,0.29,27.1,0.29,4.0,66.7,1.0
195,Bradley Barcola,Lyon,5,1,20,12,1,2.7,0.1,19.2,71.7,11.9,0.81,75.0,0.27,1.35,1.08,0.27,1.35,2.97,1.08,1.35,29.5,2.7,3.24,29.4,1.0
196,Melvin Bard,Nice,5,1,22,20,0,0.18,0.0,42.0,79.0,23.3,2.17,52.2,0.0,1.81,0.9,0.0,2.29,5.54,1.45,1.63,40.4,0.12,5.96,57.6,1.0
198,Nicol  Barella,Inter,5,2,26,20,5,0.95,0.29,42.2,80.7,23.1,2.4,48.3,0.28,4.3,3.74,0.5,0.73,1.73,1.01,0.34,41.2,0.39,5.92,66.7,1.0
199,Kike Barja,Osasuna,5,4,25,10,1,0.93,0.25,27.2,66.9,16.3,1.4,30.0,0.23,0.47,3.49,0.93,0.23,1.16,0.23,0.23,39.3,0.93,3.95,100.0,1.0
