,Nation_Ranking,League_Ranking,Age,MP,TotGoals,Shots,G/Sh,CompPass,CompPass%,ShoPass,LongPass,LongPass%,Assists,Pas3rd,SCA,GCA,TklWon,TklInt,Blocks,Clearence,Carries,CPA,Recov,AerWon%,MV
0,5,1,24,19,13,4.42,0.15,33.6,79.9,20.7,1.04,53.1,0.12,2.33,4.11,0.49,0.12,0.49,0.18,0.18,49.6,3.25,1.72,54.5,180.0
1,2,5,22,20,25,3.85,0.3,11.7,73.7,6.76,0.27,83.3,0.16,0.49,2.03,0.38,0.05,0.22,0.38,0.55,12.6,0.93,1.1,52.1,175.0
2,5,3,19,19,4,2.07,0.1,44.1,80.9,19.6,5.32,69.4,0.21,5.8,3.88,0.53,1.54,4.2,2.02,1.06,45.0,0.9,7.71,56.5,150.0
3,5,4,22,20,7,2.51,0.14,27.7,77.6,19.0,0.97,51.4,0.15,0.77,4.51,0.56,0.87,1.64,0.87,0.05,41.1,3.64,3.13,0.0,150.0
4,5,5,22,18,7,2.41,0.25,44.1,80.2,26.2,2.76,48.5,0.34,2.07,4.74,0.78,0.6,1.29,1.03,0.43,42.8,0.52,5.17,45.2,120.0
5,5,5,21,21,7,2.45,0.12,30.4,77.1,18.4,2.25,50.0,0.4,1.15,4.8,0.8,0.75,1.75,1.05,0.8,33.5,2.4,3.75,20.7,120.0
6,5,3,19,19,10,2.65,0.25,33.6,82.4,20.3,1.06,57.1,0.46,2.38,4.7,0.99,0.99,2.32,1.06,0.2,40.3,1.32,5.56,52.9,110.0
7,5,4,20,20,5,0.94,0.31,57.7,87.7,27.1,7.66,84.5,0.0,7.08,3.92,0.47,1.11,2.57,1.4,0.41,53.3,0.58,6.26,33.3,110.0
8,4,5,31,20,3,2.64,0.06,42.8,71.9,19.1,5.96,57.6,0.62,4.44,6.52,1.12,0.51,1.29,1.01,0.39,41.1,0.67,3.71,44.4,100.0
9,5,5,29,23,17,3.55,0.19,16.3,69.4,7.59,2.41,61.8,0.04,2.37,3.68,0.39,0.26,0.35,0.75,0.48,21.1,0.57,2.15,46.5,100.0
10,5,5,24,22,1,1.14,0.04,52.8,87.8,24.4,6.55,73.8,0.05,7.05,3.0,0.14,0.95,3.91,1.14,1.55,40.1,0.05,9.41,60.5,100.0
11,5,5,26,20,1,1.61,0.03,88.4,91.3,34.9,10.5,85.3,0.21,9.22,3.42,0.47,1.45,3.42,1.45,1.14,63.7,0.05,9.74,67.1,100.0
12,4,4,24,20,6,2.41,0.15,49.5,87.9,29.0,3.82,73.0,0.12,3.82,3.24,0.59,0.65,1.41,0.94,0.53,41.2,0.24,4.82,77.3,100.0
13,5,5,23,16,4,2.97,0.21,24.7,79.0,15.3,1.09,63.6,0.0,1.72,2.81,0.0,0.78,1.56,1.25,0.16,23.4,1.41,2.19,31.3,90.0
14,5,4,18,20,1,0.92,0.08,40.5,86.3,26.2,2.13,71.4,0.14,3.76,3.26,0.28,1.28,2.62,1.21,0.71,38.1,0.35,4.4,63.2,90.0
15,5,2,23,21,8,3.55,0.13,20.5,72.5,9.23,2.54,67.2,0.3,2.54,4.14,0.47,0.06,0.59,0.12,0.24,26.8,2.72,3.2,52.6,90.0
16,5,4,22,18,4,3.79,0.06,31.7,86.5,22.0,1.21,80.0,0.38,1.97,5.15,0.83,0.45,1.21,0.91,0.23,35.3,2.5,2.2,47.6,90.0
17,3,2,24,17,16,4.42,0.23,9.17,71.1,5.45,0.38,66.7,0.19,0.71,2.37,0.38,0.06,0.32,0.26,0.96,15.6,0.96,1.54,49.3,85.0
18,1,5,30,20,7,3.15,0.11,20.5,75.2,13.1,0.76,57.7,0.2,1.17,3.76,0.41,0.41,0.76,0.56,0.15,26.2,2.03,2.28,20.0,85.0
19,5,4,23,16,0,1.44,0.0,65.5,92.9,33.1,3.98,85.5,0.17,5.51,2.54,0.51,1.53,4.66,0.85,2.12,53.2,0.17,5.0,71.1,85.0
20,5,5,24,20,1,1.31,0.05,64.9,73.1,30.4,9.94,48.2,0.06,7.0,4.0,0.31,1.06,2.81,0.75,1.13,52.4,0.31,7.56,61.1,80.0
21,4,4,23,10,0,0.63,0.0,58.1,88.7,20.0,6.21,67.8,0.11,5.47,0.95,0.32,0.95,2.21,0.42,1.89,47.2,0.11,3.68,62.5,80.0
22,5,4,20,20,0,1.18,0.0,57.0,90.8,29.1,3.82,79.6,0.1,6.76,4.51,0.29,2.06,3.82,1.27,1.27,51.4,0.39,6.18,56.3,80.0
23,5,4,23,14,4,3.61,0.15,23.8,75.0,13.6,1.53,37.9,0.42,1.94,4.03,0.69,0.97,1.81,0.14,0.28,29.3,0.28,2.5,46.7,80.0
24,5,5,28,21,5,2.05,0.09,38.1,74.1,20.6,4.29,54.2,0.19,3.33,4.95,0.57,1.38,3.14,1.0,1.29,34.2,0.33,6.29,23.8,80.0
25,5,5,27,15,2,1.64,0.11,40.1,83.6,25.3,1.98,57.5,0.26,1.29,4.57,0.78,0.69,1.55,1.12,0.34,42.9,2.76,4.83,61.5,80.0
26,5,4,25,18,2,0.9,0.15,68.7,89.7,38.2,4.69,81.0,0.07,7.66,3.93,0.34,0.97,3.24,0.34,0.83,58.3,0.41,6.9,52.9,80.0
27,5,1,31,19,12,2.05,0.29,59.8,80.1,33.6,4.04,56.3,0.6,7.95,6.2,0.9,0.84,1.51,0.42,0.06,75.4,0.72,3.55,33.3,80.0
28,4,5,23,15,5,5.55,0.08,12.3,64.3,5.91,0.82,75.0,0.18,0.55,3.18,0.09,0.27,0.73,0.82,0.73,18.8,1.91,2.0,46.3,80.0
29,2,5,24,20,8,2.73,0.16,38.3,79.1,19.7,3.21,64.5,0.27,3.53,5.08,0.64,0.7,1.18,0.48,0.37,33.0,0.96,5.19,40.9,80.0
30,5,5,25,13,0,0.52,0.0,85.6,92.2,30.4,4.95,75.0,0.0,5.26,0.62,0.0,0.31,1.86,0.93,2.58,59.9,0.1,4.23,66.7,75.0
31,4,5,26,8,3,2.35,0.19,29.9,79.3,18.2,1.76,85.7,0.29,2.65,2.94,0.59,1.18,1.76,0.88,0.0,35.9,1.76,3.97,30.0,75.0
32,5,3,23,17,1,0.67,0.11,73.0,91.8,22.0,5.7,77.0,0.0,5.78,0.89,0.0,0.59,1.93,1.26,4.0,62.9,0.0,6.74,58.1,75.0
33,5,5,21,21,7,2.71,0.13,26.8,72.9,14.0,2.4,48.4,0.1,1.25,4.32,0.57,0.52,1.25,0.83,0.52,33.3,2.4,3.49,20.0,75.0
34,5,2,25,21,12,3.92,0.15,16.6,72.4,8.44,1.24,76.7,0.16,1.24,3.12,0.48,0.32,1.18,1.08,0.65,19.9,0.75,3.06,46.2,75.0
35,5,3,25,15,12,2.89,0.24,24.9,80.6,14.4,2.61,67.3,0.0,1.83,4.23,0.35,0.14,0.63,0.42,0.56,28.7,0.99,3.1,50.0,75.0
36,5,5,28,20,2,1.08,0.12,52.7,85.9,28.9,3.82,66.7,0.32,3.18,3.5,0.57,0.89,2.61,0.96,0.25,44.2,1.53,4.46,28.6,75.0
37,5,2,26,20,5,0.95,0.29,42.2,80.7,23.1,2.4,48.3,0.28,4.3,3.74,0.5,0.73,1.73,1.01,0.34,41.2,0.39,5.92,66.7,70.0
38,2,3,22,17,0,0.52,0.0,62.5,87.8,32.9,3.48,66.7,0.13,5.29,3.55,0.26,1.29,2.9,1.1,0.84,55.4,1.29,8.77,42.9,70.0
39,5,4,20,20,3,4.3,0.08,32.6,84.1,24.0,0.93,72.7,0.35,1.16,3.14,0.81,0.7,1.51,0.93,0.58,37.1,1.98,3.95,33.3,70.0
40,5,2,25,19,2,1.91,0.03,39.2,77.6,17.8,3.99,57.0,0.16,2.9,3.01,0.38,1.04,2.35,1.31,0.98,33.4,0.71,6.28,67.7,70.0
41,3,5,30,21,4,2.66,0.08,21.0,71.1,13.1,0.94,30.0,0.16,1.09,3.59,0.42,0.42,1.2,0.68,0.21,23.6,0.83,3.33,33.3,70.0
42,2,5,23,6,3,2.62,0.18,11.7,71.0,6.67,0.95,100.0,0.0,1.19,2.14,0.0,0.48,1.19,1.19,0.24,16.0,1.19,2.14,36.8,70.0
43,5,3,28,19,3,1.18,0.14,75.3,84.3,31.2,10.4,61.8,0.22,9.21,5.0,0.67,1.46,3.99,0.79,1.29,56.4,0.17,9.1,36.7,70.0
44,5,1,28,22,2,0.59,0.17,68.8,95.5,27.2,4.98,84.9,0.0,2.91,0.54,0.05,0.59,1.72,1.18,2.61,65.0,0.05,5.67,56.4,70.0
45,5,1,20,14,1,0.5,0.2,42.9,84.6,24.7,1.6,69.6,0.4,3.0,2.6,0.4,1.8,3.4,0.8,1.0,47.9,1.1,5.0,66.7,70.0
46,5,5,31,17,2,1.09,0.11,71.5,89.1,24.1,7.76,70.7,0.0,5.52,0.61,0.06,0.18,1.76,0.91,4.24,54.2,0.12,5.58,78.6,70.0
47,4,1,24,21,4,0.83,0.29,56.1,88.5,35.9,0.95,57.1,0.18,2.08,3.45,0.48,1.43,2.92,1.49,0.54,57.0,1.07,5.6,45.5,65.0
48,5,5,23,21,5,2.32,0.12,23.6,80.3,15.4,0.4,63.6,0.06,1.47,1.98,0.17,0.62,1.81,1.02,1.53,23.8,1.13,2.99,57.3,65.0
49,4,2,20,18,5,2.83,0.17,16.1,74.7,10.3,0.66,100.0,0.09,1.13,3.11,0.28,0.19,0.28,0.47,0.38,23.5,1.6,3.3,34.6,65.0
50,5,5,24,21,3,1.81,0.1,32.5,75.2,19.2,2.51,53.1,0.12,3.1,3.16,0.41,0.94,2.11,1.23,0.53,29.0,0.64,4.74,40.0,65.0
51,5,3,27,18,6,3.68,0.12,41.4,82.1,25.4,1.84,59.5,0.22,2.57,4.34,0.66,1.18,1.62,0.59,0.07,42.3,1.32,4.71,83.3,65.0
52,5,2,23,17,0,0.71,0.0,58.3,83.5,20.1,8.16,63.5,0.14,5.18,2.41,0.28,0.85,2.98,0.99,1.99,47.3,0.14,4.82,71.8,60.0
53,3,5,21,20,1,0.73,0.07,54.1,88.2,28.5,4.17,84.2,0.05,4.69,2.24,0.16,1.46,4.58,0.94,0.99,41.9,0.21,6.67,63.9,60.0
54,5,5,28,17,2,1.2,0.12,73.0,84.9,40.7,5.7,65.9,0.07,5.63,2.75,0.42,1.48,3.38,0.49,0.63,58.9,1.48,5.63,71.1,60.0
55,5,3,26,14,4,3.13,0.15,39.4,79.6,21.8,3.37,60.9,0.36,1.93,5.66,0.72,0.6,0.96,1.2,0.48,45.2,2.65,4.34,50.0,60.0
56,5,4,25,18,5,3.2,0.13,40.9,77.1,24.3,3.52,55.1,0.41,1.56,5.0,0.82,0.9,1.39,0.82,0.16,47.4,3.44,3.77,15.4,60.0
57,5,3,23,20,7,2.23,0.17,25.7,75.2,14.5,1.96,53.7,0.16,1.68,3.53,0.54,0.33,0.82,0.33,0.11,27.6,1.85,3.1,13.3,60.0
58,5,3,28,15,3,2.48,0.11,41.0,81.9,22.7,2.04,56.1,0.09,3.98,2.92,0.44,1.15,3.36,2.04,1.95,32.3,0.44,8.76,66.0,60.0
59,5,5,25,17,3,0.9,0.21,44.6,81.6,21.5,4.97,67.5,0.19,4.65,2.97,0.45,1.23,3.81,1.29,0.84,42.8,0.06,8.13,60.0,60.0
60,4,3,21,18,0,0.44,0.0,76.7,88.5,24.4,8.67,66.1,0.0,4.81,1.19,0.15,0.52,2.22,1.33,3.26,67.6,0.0,6.67,56.8,60.0
61,5,5,23,10,1,1.19,0.1,67.1,85.8,36.4,5.36,68.2,0.12,3.93,2.98,0.24,1.31,3.21,0.95,1.55,48.0,0.6,6.43,59.1,60.0
62,5,4,24,13,0,0.52,0.0,71.2,89.3,32.5,6.26,75.8,0.17,8.87,1.57,0.35,0.87,2.09,1.13,1.39,57.3,0.17,6.17,62.5,60.0
63,5,5,26,16,9,3.19,0.2,35.3,77.0,16.7,3.55,50.5,0.35,5.04,4.61,0.5,0.78,2.48,0.57,0.35,37.6,0.99,3.12,22.2,60.0
64,5,4,25,16,3,0.89,0.25,48.9,87.2,19.9,5.26,63.4,0.0,3.11,0.67,0.15,1.11,2.96,2.22,3.56,41.5,0.07,5.19,61.1,60.0
65,5,5,25,22,11,3.02,0.18,19.4,75.3,12.6,1.31,59.1,0.15,1.06,2.66,0.4,0.3,1.06,1.21,0.3,23.1,1.51,2.96,36.2,60.0
66,5,5,21,21,2,0.24,0.4,59.4,91.6,24.2,3.65,76.0,0.05,3.13,0.48,0.05,0.67,2.07,0.53,3.37,46.2,0.05,8.03,54.4,60.0
67,5,1,30,17,0,0.22,0.0,97.2,93.3,49.1,6.59,85.0,0.0,9.93,2.39,0.36,2.32,5.07,2.1,0.29,96.4,0.29,7.61,33.3,60.0
68,5,4,20,21,4,2.14,0.1,21.8,67.5,13.0,1.21,42.3,0.22,0.88,3.52,0.44,0.49,1.26,1.65,0.33,30.0,2.25,4.78,33.3,60.0
69,3,4,30,17,1,0.59,0.11,50.2,88.3,28.6,2.7,57.7,0.2,3.55,1.58,0.26,0.53,1.38,0.79,1.64,38.0,0.07,4.67,45.5,55.0
70,5,4,28,13,1,1.06,0.08,33.3,79.2,17.9,2.04,57.5,0.0,2.3,3.19,0.09,0.97,2.92,1.24,0.97,29.3,0.88,4.96,40.0,55.0
71,5,5,24,18,5,2.03,0.06,51.1,88.4,25.1,3.37,72.5,0.0,4.88,2.5,0.23,1.63,3.95,0.81,0.29,39.0,0.06,7.97,70.6,55.0
72,3,3,30,14,6,3.86,0.13,20.2,72.6,12.3,1.09,64.7,0.3,0.99,4.36,0.89,0.3,0.5,0.99,0.2,28.0,2.57,2.67,52.6,55.0
73,5,4,26,19,4,3.64,0.1,43.8,74.3,22.5,5.7,53.0,0.37,1.78,5.33,0.84,1.03,1.96,1.68,0.75,48.9,3.74,4.49,44.4,55.0
74,5,5,22,11,3,0.96,0.38,31.8,82.0,23.3,0.72,50.0,0.12,0.84,4.58,0.72,0.36,1.08,0.72,0.24,30.4,2.53,4.7,20.0,55.0
75,5,5,25,21,0,0.27,0.0,54.8,83.6,24.5,3.69,53.9,0.11,7.38,2.19,0.37,1.28,2.83,1.44,2.51,42.1,0.0,4.17,48.8,55.0
76,5,5,31,14,0,0.7,0.0,65.8,85.9,30.7,9.45,79.1,0.0,7.42,3.05,0.16,1.8,4.61,1.09,0.94,49.5,0.0,8.13,36.8,50.0
77,5,4,19,18,0,0.45,0.0,59.3,90.6,35.0,2.99,70.2,0.3,3.51,2.09,0.3,1.34,2.24,1.19,0.75,48.6,1.04,6.27,33.3,50.0
78,5,5,23,20,0,0.59,0.0,44.2,85.8,13.2,5.99,71.8,0.0,2.09,0.75,0.05,0.75,2.25,1.44,3.58,34.0,0.11,4.81,66.1,50.0
79,5,5,26,22,4,2.01,0.07,16.2,64.5,8.81,1.69,36.6,0.05,1.32,2.97,0.32,0.46,2.05,1.19,0.59,20.6,1.32,3.97,28.8,50.0
80,5,2,25,7,0,1.85,0.0,30.7,74.1,16.7,0.74,50.0,0.74,2.96,3.33,0.74,1.85,2.96,0.74,0.37,28.5,1.85,6.3,0.0,50.0
81,4,1,20,15,0,1.49,0.0,32.8,82.4,17.9,2.13,100.0,0.0,1.49,4.26,0.0,1.49,2.55,0.85,0.21,51.1,3.4,8.51,28.6,50.0
82,5,3,27,20,9,3.98,0.16,37.0,80.1,24.1,1.95,55.8,0.33,2.36,4.63,0.89,0.65,1.79,1.3,0.24,38.7,2.28,3.98,37.5,50.0
83,5,5,22,21,0,0.33,0.0,49.4,86.8,15.8,5.19,57.4,0.0,3.38,0.71,0.0,0.76,2.71,1.48,3.71,38.4,0.0,5.86,53.1,50.0
84,5,5,25,14,5,3.7,0.1,24.1,80.8,13.0,1.26,68.0,0.37,1.7,4.22,0.52,1.19,2.0,1.11,0.74,27.4,1.33,3.11,34.3,50.0
85,5,3,24,18,9,2.31,0.22,13.5,63.2,7.75,0.63,58.8,0.63,0.88,3.88,1.06,0.5,0.69,0.44,0.38,21.8,2.5,3.38,40.5,50.0
86,4,4,28,12,0,1.25,0.0,41.9,86.1,14.2,5.18,66.7,0.0,2.59,0.8,0.09,0.89,2.95,1.43,4.64,31.3,0.0,6.25,64.9,50.0
87,5,1,35,18,10,4.57,0.13,53.3,80.1,29.1,5.31,67.9,0.57,7.6,6.46,1.26,0.74,0.97,0.4,0.0,67.8,1.26,2.34,0.0,50.0
88,3,2,26,20,2,0.26,0.4,70.9,90.2,28.2,6.51,72.6,0.0,5.59,1.28,0.05,1.13,2.82,1.33,4.1,54.3,0.05,6.72,64.1,50.0
89,5,3,24,13,2,3.13,0.08,31.8,75.2,16.9,1.93,53.3,0.48,2.53,4.7,1.08,0.84,1.93,1.08,0.36,33.3,1.08,6.51,28.6,50.0
90,5,5,25,15,2,2.58,0.03,37.5,78.8,20.1,3.33,69.0,0.17,3.83,3.08,0.33,1.58,3.08,1.83,1.67,30.2,0.17,6.17,61.8,50.0
91,5,5,25,14,0,2.5,0.0,20.7,73.9,11.1,1.61,75.0,0.36,1.79,3.39,0.54,1.07,2.32,1.61,1.07,26.8,0.71,5.54,30.8,50.0
92,4,5,28,18,0,0.61,0.0,59.5,78.8,28.4,4.83,49.0,0.34,3.4,3.95,0.48,0.68,1.84,1.02,1.7,42.7,0.41,5.24,45.8,50.0
93,2,2,28,20,0,0.43,0.0,63.0,91.2,22.5,4.87,70.5,0.0,3.58,0.48,0.0,0.96,2.14,0.91,2.3,49.1,0.0,5.67,50.0,50.0
94,5,5,28,16,4,1.65,0.19,23.3,74.7,14.0,0.94,66.7,0.16,1.34,3.15,0.16,0.39,0.87,0.94,0.24,30.1,2.13,3.23,0.0,50.0
95,5,2,22,19,2,1.26,0.09,29.9,71.2,12.2,4.25,49.3,0.23,3.85,3.33,0.46,1.15,2.99,0.86,0.63,24.7,0.06,5.8,42.9,50.0
96,5,3,24,19,0,0.26,0.0,78.8,89.8,22.0,9.31,72.1,0.05,8.52,1.01,0.16,1.59,3.81,0.9,3.07,70.5,0.11,7.72,52.2,50.0
97,5,5,27,20,5,2.38,0.12,12.9,70.5,8.56,0.44,72.7,0.22,1.16,2.49,0.5,0.33,0.88,0.77,0.88,16.3,0.77,2.43,39.0,50.0
98,5,3,21,15,2,2.24,0.11,24.2,73.6,14.9,0.71,40.0,0.12,1.41,3.65,0.59,0.71,1.88,1.18,0.12,31.3,0.94,4.94,77.8,45.0
99,5,5,27,15,0,0.31,0.0,84.2,91.5,39.7,3.75,67.6,0.0,7.58,1.17,0.16,0.55,2.27,1.02,1.64,63.8,0.16,5.0,56.4,45.0
100,2,1,23,21,12,3.13,0.16,20.0,82.1,12.2,0.77,93.8,0.21,1.59,3.13,0.46,0.51,0.97,0.67,0.62,26.9,1.23,2.51,15.0,45.0
101,5,5,32,18,2,2.23,0.06,50.1,87.3,27.5,3.6,78.1,0.14,5.83,4.1,0.65,0.79,2.37,0.72,0.65,37.2,0.29,6.04,70.0,45.0
102,5,5,25,20,1,0.23,0.25,56.4,86.7,22.3,4.02,48.3,0.0,3.85,0.86,0.0,0.98,3.51,2.01,4.6,44.5,0.0,6.61,55.3,45.0
103,5,4,27,14,0,0.08,0.0,51.8,91.5,33.3,2.4,90.9,0.08,3.6,2.16,0.16,0.72,2.4,0.48,0.96,39.6,0.16,5.12,53.8,45.0
104,3,5,25,16,5,1.84,0.26,34.8,80.1,23.0,1.07,57.9,0.1,1.55,3.69,0.58,1.46,2.52,1.17,0.78,37.3,2.62,4.85,63.6,45.0
105,2,5,29,18,2,1.29,0.09,61.6,86.2,27.6,6.49,71.6,0.0,8.07,3.04,0.23,1.4,3.63,0.82,1.7,48.7,0.06,8.01,55.6,45.0
106,5,5,24,14,0,0.45,0.0,51.2,87.0,19.2,4.59,69.3,0.0,3.23,0.6,0.0,1.35,3.98,1.2,3.23,44.7,0.08,6.24,70.0,45.0
107,2,3,22,18,3,1.67,0.12,44.2,79.6,23.7,5.07,68.5,0.53,3.67,5.47,0.87,1.13,2.33,1.53,1.33,38.5,0.33,6.67,30.8,45.0
108,5,4,22,17,2,3.75,0.07,27.6,78.7,17.5,1.67,60.0,0.0,0.97,2.5,0.14,0.28,0.83,0.69,0.42,35.4,1.81,3.33,25.0,45.0
109,5,4,26,17,0,0.29,0.0,54.7,86.8,17.0,8.35,70.3,0.0,6.12,1.71,0.06,0.53,1.41,1.06,4.41,45.6,0.0,5.29,46.8,45.0
110,5,2,25,22,6,2.67,0.13,13.7,68.6,8.13,0.91,69.6,0.17,0.63,3.07,0.51,0.4,0.91,0.51,0.45,16.8,0.63,1.87,51.7,40.0
111,3,5,27,15,0,0.77,0.0,76.2,94.2,33.4,4.76,74.7,0.07,5.17,1.26,0.0,1.05,2.31,1.33,1.19,63.6,0.0,5.38,37.5,40.0
112,5,4,27,15,2,3.75,0.1,39.8,81.4,22.5,4.46,56.8,0.54,3.39,4.11,0.71,0.89,1.79,0.54,0.36,37.9,0.54,2.5,100.0,40.0
113,5,1,20,12,1,2.7,0.1,19.2,71.7,11.9,0.81,75.0,0.27,1.35,1.08,0.27,1.35,2.97,1.08,1.35,29.5,2.7,3.24,29.4,40.0
114,4,5,25,18,5,0.9,0.33,44.1,83.8,22.0,2.34,55.7,0.12,3.23,2.04,0.3,1.68,3.89,1.68,1.32,34.6,0.06,7.66,48.4,40.0
115,5,2,28,13,4,4.31,0.05,29.5,67.9,13.2,4.41,57.0,0.29,1.76,4.51,0.39,0.98,2.16,0.29,0.88,36.4,0.88,4.41,31.3,40.0
116,5,2,25,18,1,0.97,0.06,51.8,89.5,17.3,5.94,70.3,0.0,1.03,0.86,0.0,0.69,2.57,1.77,4.23,38.4,0.0,5.94,58.0,40.0
117,3,2,29,20,2,1.65,0.04,48.5,83.4,21.5,5.76,62.4,0.29,5.18,4.35,0.47,1.12,3.18,1.29,0.47,38.9,0.12,7.47,47.8,40.0
118,5,5,30,17,2,1.24,0.12,48.5,77.7,22.3,5.47,60.5,0.22,5.62,3.14,0.44,1.9,5.69,2.04,2.77,36.7,0.0,7.81,68.1,40.0
119,5,5,26,11,1,0.6,0.33,52.2,78.1,33.4,2.6,36.1,0.2,2.0,1.8,0.6,1.2,3.0,0.8,2.0,39.4,0.4,4.4,76.2,40.0
120,5,4,27,19,5,3.19,0.17,27.3,78.5,18.5,1.1,40.0,0.0,1.54,4.29,0.33,0.22,1.54,0.99,0.44,31.3,1.76,3.52,16.7,40.0
121,5,4,23,11,0,2.86,0.0,15.2,75.3,11.4,0.71,75.0,0.48,1.43,2.38,0.48,0.24,1.43,0.95,0.71,17.6,0.95,3.81,17.6,40.0
122,5,4,28,15,1,0.82,0.13,51.3,80.8,26.2,6.08,64.1,0.21,7.22,4.02,0.31,0.41,1.55,1.24,0.21,47.4,0.21,5.05,30.0,40.0
123,5,2,26,18,1,1.5,0.05,26.9,73.1,12.9,2.18,49.2,0.15,0.68,3.38,0.45,0.45,1.65,1.28,1.35,25.0,0.9,3.76,59.0,40.0
124,5,5,19,20,1,1.67,0.05,43.3,79.6,24.8,2.06,50.0,0.08,4.05,3.89,0.48,0.56,1.51,1.59,0.48,41.2,0.63,5.95,10.0,40.0
125,3,5,25,18,0,0.57,0.0,54.0,80.9,30.8,2.43,57.6,0.21,3.5,2.79,0.43,1.29,3.71,1.14,1.57,45.0,0.57,5.43,55.0,40.0
126,5,5,24,22,3,2.27,0.08,31.9,78.7,18.4,2.62,47.4,0.17,2.91,3.43,0.47,0.81,1.8,0.99,0.17,29.7,0.99,6.57,27.6,40.0
127,5,5,31,13,7,3.2,0.21,33.2,77.9,20.2,1.55,66.7,0.29,3.69,3.69,0.68,1.07,1.84,1.07,0.19,31.1,0.58,4.37,34.2,40.0
128,5,5,18,11,1,3.33,0.08,24.4,78.6,18.6,0.28,100.0,0.56,0.28,3.33,1.11,0.28,1.94,1.39,0.0,36.9,4.72,3.89,25.0,40.0
129,5,1,22,17,9,2.85,0.21,19.2,80.3,11.1,1.19,94.7,0.07,0.99,3.71,0.4,0.6,1.39,0.53,0.26,25.7,0.93,2.65,31.1,40.0
130,5,3,26,7,0,0.0,0.0,63.6,89.4,25.1,8.11,84.3,0.0,5.47,0.75,0.0,0.75,2.08,0.38,1.32,50.4,0.0,6.23,66.7,40.0
131,5,5,31,18,2,0.21,0.0,52.8,84.8,26.8,3.59,68.9,0.0,6.13,2.04,0.14,1.62,4.44,1.27,0.49,38.4,0.07,8.38,42.1,40.0
132,1,1,23,21,3,1.25,0.22,12.6,61.9,8.06,0.14,20.0,0.14,1.11,2.22,0.14,0.42,1.11,0.56,0.56,20.4,0.14,2.36,50.7,40.0
133,3,4,21,17,3,2.52,0.09,22.7,72.7,13.5,0.86,41.4,0.14,1.08,3.24,0.43,0.94,1.87,0.72,0.07,28.4,2.3,3.67,44.0,40.0
134,2,5,22,15,2,1.67,0.1,25.5,76.2,14.4,1.03,52.0,0.4,0.63,4.13,0.63,0.48,1.9,0.79,0.32,30.6,2.46,6.59,50.0,40.0
135,4,2,29,9,1,2.05,0.11,12.0,62.4,7.27,0.23,25.0,0.23,0.23,2.27,0.68,0.0,0.23,0.0,0.45,15.9,0.23,1.36,46.2,40.0
136,5,5,29,9,0,0.23,0.0,50.0,87.8,17.7,6.74,70.7,0.0,4.42,0.47,0.0,0.7,2.56,3.02,4.88,38.8,0.0,5.35,52.9,40.0
137,3,5,31,16,4,2.4,0.17,47.9,84.3,25.7,4.7,66.2,0.3,2.2,5.7,1.1,0.5,1.5,1.2,0.2,45.0,1.9,4.1,27.3,40.0
138,5,5,25,21,5,1.9,0.08,51.4,82.6,16.5,9.62,68.7,0.0,5.95,2.14,0.1,1.19,3.9,1.52,2.71,38.3,0.05,7.14,48.5,40.0
139,5,5,24,19,0,1.41,0.0,30.6,79.8,14.7,4.42,68.3,0.06,3.01,2.37,0.13,1.47,2.88,0.96,1.35,31.4,0.26,5.38,46.2,40.0
140,5,4,25,6,1,1.05,0.0,27.9,84.1,17.9,1.05,100.0,0.0,1.58,2.11,0.0,0.53,1.05,0.53,1.58,30.0,2.11,5.26,22.2,40.0
141,5,5,27,22,3,1.29,0.11,28.1,80.4,13.8,2.81,67.8,0.0,3.46,0.88,0.0,2.58,5.9,1.47,2.03,21.7,0.09,6.04,63.5,40.0
142,5,4,20,19,2,1.69,0.1,21.8,72.6,13.3,1.13,60.9,0.08,0.73,2.02,0.08,1.69,3.06,1.13,1.61,25.7,0.97,4.52,33.3,40.0
143,3,5,24,16,1,2.21,0.07,27.2,80.8,18.1,1.18,61.5,0.15,1.76,2.94,0.44,0.88,1.91,0.59,0.59,32.9,1.62,3.38,20.0,40.0
144,3,3,20,14,5,2.68,0.27,31.1,77.3,18.2,1.43,57.1,0.0,1.43,2.86,0.36,0.71,2.32,1.07,0.71,36.4,1.07,3.21,31.3,40.0
145,5,4,29,18,1,1.03,0.07,54.0,91.9,19.4,4.63,74.1,0.0,3.24,0.81,0.07,0.44,1.18,0.88,2.87,45.2,0.0,5.51,73.3,40.0
146,5,1,26,14,1,1.24,0.08,73.6,91.6,38.8,4.76,84.7,0.1,6.76,1.62,0.19,1.05,3.33,1.33,0.29,77.8,0.19,7.24,50.0,40.0
147,5,5,28,14,0,0.53,0.0,75.6,94.1,35.0,5.5,83.7,0.15,5.73,0.84,0.23,0.69,1.3,0.69,1.76,57.1,0.08,4.81,64.5,40.0
148,2,1,20,14,1,3.61,0.08,35.3,81.9,17.8,4.44,72.7,0.0,1.94,3.61,0.0,0.83,2.78,0.56,0.56,52.5,2.78,8.06,44.4,40.0
149,4,5,25,21,3,1.2,0.09,53.9,82.3,26.0,5.03,61.7,0.05,6.78,3.28,0.16,1.48,3.55,1.69,0.82,37.5,0.05,8.03,68.0,40.0
