,Nation_Ranking,League_Ranking,Age,MP,TotGoals,Shots,G/Sh,CompPass,CompPass%,ShoPass,LongPass,LongPass%,Assists,Pas3rd,SCA,GCA,TklWon,TklInt,Blocks,Clearence,Carries,CPA,Recov,AerWon%,MV
1601,5,1,22,13,0,1.06,0.0,34.8,77.7,9.06,6.82,65.9,0.0,4.0,0.59,0.0,0.82,2.94,1.29,2.47,34.6,0.0,4.12,64.3,2.0
1602,5,4,28,17,1,2.14,0.07,25.3,76.3,15.3,1.0,43.8,0.14,1.86,4.57,0.43,2.14,4.14,0.71,0.29,33.3,2.0,4.86,25.0,2.0
1603,5,1,20,10,1,5.0,0.09,16.8,75.5,8.64,0.45,50.0,0.0,1.82,3.64,0.45,0.0,1.36,0.0,0.45,27.7,2.27,1.82,12.5,2.0
1604,5,4,23,15,1,0.5,0.14,40.9,81.1,11.7,6.24,60.7,0.0,3.97,0.43,0.0,1.21,3.48,0.85,3.97,37.2,0.0,7.94,41.1,2.0
1605,5,5,37,17,1,0.61,0.13,41.6,74.4,19.8,3.71,42.6,0.0,3.33,2.27,0.08,1.52,3.86,1.29,2.73,31.5,0.23,6.74,56.3,2.0
1606,5,4,30,10,0,0.14,0.0,26.8,68.6,14.6,2.11,35.7,0.14,1.55,0.99,0.14,1.13,3.66,0.56,3.1,18.9,0.28,3.24,61.3,2.0
1607,3,1,27,8,1,0.77,0.33,47.4,83.3,20.3,2.56,47.6,0.0,2.05,1.79,0.0,0.26,0.77,0.77,1.54,48.2,0.26,6.15,50.0,2.0
1608,5,2,23,9,1,1.6,0.25,24.0,61.2,12.4,2.0,38.5,0.0,1.2,3.2,0.4,2.0,4.0,1.6,1.6,31.2,0.8,5.6,83.3,2.0
1609,5,4,23,14,0,0.36,0.0,36.6,82.4,16.1,4.1,68.0,0.0,2.29,1.2,0.12,0.84,2.29,1.33,0.72,27.8,0.24,5.18,30.0,1.0
1610,5,5,23,17,3,1.95,0.18,28.9,73.0,16.8,2.3,55.6,0.0,1.72,3.1,0.11,1.49,3.33,1.84,1.03,30.1,0.92,5.17,47.1,1.0
1611,2,3,29,15,2,1.48,0.15,16.7,58.1,8.75,1.82,40.0,0.68,0.57,4.43,1.02,0.91,1.7,0.91,0.34,23.6,1.02,5.8,28.6,1.0
1612,4,1,22,7,0,0.0,0.0,45.0,84.4,23.3,3.33,100.0,0.0,1.67,3.33,0.0,3.33,6.67,1.67,5.0,45.0,0.0,3.33,0.0,1.0
1613,5,1,34,6,0,0.0,0.0,36.6,79.0,8.29,4.86,51.5,0.0,2.0,0.57,0.0,0.0,2.0,1.14,4.29,36.3,0.0,2.57,87.5,1.0
1614,2,3,35,9,0,0.0,0.0,42.0,75.0,20.7,4.0,85.7,0.0,5.33,2.0,0.0,0.67,1.33,0.67,1.33,44.0,0.0,7.33,50.0,1.0
1615,5,2,32,17,0,0.34,0.0,50.1,87.9,20.5,4.52,65.3,0.0,2.4,0.55,0.07,0.48,1.92,1.03,2.26,37.9,0.0,3.84,60.5,1.0
1616,5,2,30,15,1,0.43,0.2,31.2,75.6,13.2,3.22,48.7,0.0,3.3,0.96,0.09,1.22,2.43,0.96,3.22,23.4,0.17,6.43,63.6,1.0
1617,5,1,24,6,0,0.56,0.0,32.2,87.2,16.1,0.83,37.5,0.0,1.94,0.28,0.0,1.11,3.33,0.83,0.28,28.9,0.0,6.11,25.0,1.0
1618,5,1,28,18,0,0.46,0.0,39.3,81.8,10.6,7.77,61.8,0.0,3.54,0.97,0.06,0.97,3.71,1.43,2.8,38.5,0.0,4.74,68.0,1.0
1619,5,4,24,7,0,0.0,0.0,33.6,67.3,18.2,1.82,28.6,0.0,1.82,3.64,0.0,0.91,0.91,0.91,4.55,36.4,0.0,4.55,50.0,1.0
1620,5,1,21,19,0,0.28,0.0,33.9,79.3,13.5,4.15,60.8,0.07,4.01,1.48,0.21,1.06,3.59,1.41,1.55,34.2,0.0,6.83,35.3,1.0
1621,5,2,37,18,3,2.69,0.14,9.62,57.5,5.38,0.96,62.5,0.0,1.15,2.31,0.38,0.38,0.77,0.58,0.38,11.9,0.0,2.5,42.0,1.0
1622,5,2,28,19,3,1.67,0.13,35.6,80.4,18.8,2.75,62.3,0.29,2.17,2.68,0.22,0.65,1.59,0.94,0.94,27.3,0.36,4.35,45.5,1.0
1623,5,5,33,8,0,0.0,0.0,19.0,81.9,8.06,1.94,66.7,0.0,2.58,0.65,0.0,2.9,4.52,0.32,1.61,9.03,0.0,4.52,33.3,1.0
1624,5,2,23,15,2,2.26,0.17,32.5,79.3,17.2,3.02,57.1,0.0,3.21,3.02,0.0,0.75,1.7,1.89,0.38,36.0,0.19,6.42,10.0,1.0
1625,5,2,19,8,0,0.43,0.0,33.0,72.4,12.3,2.75,40.4,0.0,2.9,1.01,0.0,1.16,3.04,1.88,3.04,25.2,0.14,5.94,45.5,1.0
1626,5,3,29,11,0,0.74,0.0,28.4,62.9,10.3,2.35,37.2,0.15,3.68,1.62,0.15,1.03,2.21,2.06,1.62,26.0,0.74,7.5,61.5,1.0
1627,5,1,24,19,1,1.76,0.06,18.7,69.7,11.2,0.66,54.5,0.0,0.66,2.53,0.55,1.54,4.18,1.21,0.88,32.3,1.98,8.24,50.0,1.0
1628,5,5,25,21,2,0.9,0.11,55.3,89.2,22.2,3.81,59.3,0.0,4.67,0.67,0.0,1.0,2.29,1.38,3.67,44.0,0.05,5.19,48.9,1.0
1629,1,1,19,19,2,1.92,0.05,30.2,78.7,14.3,1.72,53.1,0.2,4.85,3.23,0.3,1.11,3.33,1.21,0.1,38.3,0.3,5.96,30.4,1.0
1630,3,1,26,18,0,0.24,0.0,38.2,80.5,21.6,2.01,47.8,0.0,2.5,1.46,0.0,1.46,3.35,1.04,1.59,38.5,0.3,6.4,53.8,1.0
1631,5,4,28,16,0,0.53,0.0,42.7,81.8,19.3,2.98,57.6,0.09,2.54,0.79,0.18,1.05,3.42,1.05,2.63,31.3,0.0,3.77,40.6,1.0
1632,4,4,33,13,0,0.64,0.0,52.2,88.0,19.0,3.72,61.4,0.11,1.7,0.64,0.21,0.0,0.96,1.28,4.36,38.8,0.0,4.89,75.0,1.0
1633,5,2,35,12,1,0.93,0.09,34.6,77.3,11.8,3.98,51.1,0.0,2.03,1.02,0.0,1.02,3.64,0.76,5.17,29.2,0.08,6.19,73.5,1.0
1634,5,2,19,11,0,0.74,0.0,28.1,82.6,18.5,0.74,33.3,0.0,1.11,1.85,0.0,2.96,7.04,2.22,2.96,29.3,0.0,5.93,31.3,1.0
1635,5,4,26,16,1,0.55,0.13,35.8,82.6,10.3,5.41,64.2,0.0,2.05,0.82,0.0,1.23,2.4,1.3,4.38,29.5,0.0,3.84,64.2,1.0
